id_pacote,dsc_pacote,is_deleted
150,"MARS",0
151,"LEGACY",0
152,"LIQUID CINEMA",0
153,"NOVA",0
154,"NUVOTONE",0
155,"ANTIMATTER",0
156,"PEDIGREE CUTS",0
157,"PLAN 8 MUSIC",0
158,"SOHO",0
159,"SOHO ARCHIVE",0
160,"SXSW MUSIC",0
161,"LIBRARY",0
162,"TRUE STORIES",0
163,"A REMARKABLE IDEA",0
164,"AIRPLAY",0
165,"AURORA PRODUCTION MUSIC",0
166,"ABBEY ROAD MASTERS",0
167,"AUDIO WAX",0
168,"BOSWORTH",0
169,"BOSWORTH ARCHIVE",0
170,"CAPITOL STUDIO MASTERS",0
171,"CHAPPELL VAULTS",0
172,"ELIAS MINIMALIST",0
173,"ENERGY MUSIC",0
174,"FRESHWORX",0
175,"GRAND MUSIC SOCIETY",0
176,"ICON TRAILER MUSIC",0
177,"NOISE REFINERY",0
178,"POP MACHINE",0
179,"SCORE ADDICTION",0
180,"SONIC BEAT RECORDS",0
181,"SPOT ON",0
182,"WALL OF NOISE",0
183,"SCORING PICTURES",0
185,"IN REALITY",0
186,"3MONKEYS",0
187,"ASIAN ACCENT",0
190,"EASY-LISTENING-MUSIC CORP",0
191,"ESSENTIAL AFRICA",0
192,"FIRSTCOM",0
193,"FOCUS CLUB",0
194,"KOKA FOR TV",0
195,"KOSINUS TRAILERS",0
196,"L'ILLUSTRATION MUSICALE",0
197,"LO EDITIONS",0
198,"MATCH MUSIC",0
199,"MUSIC JOURNEY",0
200,"NINJA TUNE LIMITED",0
201,"NORDIC ID",0
202,"NUVOTONE ANTIMATTER",0
203,"NUVOTONE LIME",0
204,"NUVOTONE STRATOS",0
205,"POINT",0
206,"SOUNDBREAKERS",0
207,"MODUS OPERANDI",0
208,"ORGANIC SPARK",0
209,"HOOKED",0
210,"AFROSONIC",0
211,"ATOMIC OVERTURE",0
212,"NOVA PRODUCTION MUSIC",0
213,"STORYTELLER",0
214,"THREE INGREDIENTS OR LESS",0
215,"ANALOG CHAMPION",0
217,"DANCING ABOUT ARCHITECTURE",0
218,"ESSENTIAL ASIA",0
219,"EYEBALLS & EARDRUMS",0
220,"FRONT RUNNERS",0
221,"HYPEKIT",0
222,"HYPERSONIC MUSIC",0
223,"LMNTL RECORDS",0
224,"NOVA PRODUCTION MUSIC LTD",0
226,"PICTURE PUNCTURE",0
229,"UNDERSCORE MUSIC LIBRARY",0
230,"INDIGO",0
231,"615 PLATINUM SERIES",0
232,"AMP",0
233,"ANARCHY MUSIC",0
234,"ATTITUDE",0
235,"AUDIO ATTACK PRODUCTION MUSIC",0
236,"AUDIO ATTACK TRAILER SERIES",0
237,"AUDIOACTIVE",0
238,"BASSTONE MUSIC",0
239,"CINEMA SOUND TOOLS",0
240,"COLOR TV",0
241,"CPM ARCHIVE SERIES",0
243,"CRIMESONICS",0
244,"ELBROAR",0
245,"ELEPHANT SOUND DESIGN",0
246,"EMH CLASSICAL MUSIC LIBRARY",0
247,"ENTERPRISES SONOR",0
248,"EPIC SINGLE SERIES",0
249,"ESSENTIAL ELEMENTS",0
250,"FONTANA CLASSIC COLLECTION",0
251,"FONTANA MUSIC LIBRARY",0
252,"FONTANA SOUND EFFECTS",0
253,"FONTANA VIRTUAL",0
254,"FRAMEWORKS MUSIC",0
255,"FULL TILT",0
256,"FUTURE POP",0
257,"GAS",0
258,"GERHARD DAUM MUSIC EDITION",0
259,"GLORY OATH + BLOOD",0
260,"GOLD SERIES",0
261,"GOTHIC HYBRID",0
262,"GOTHIC STORM MUSIC",0
263,"GOTHIC STORM'S TOOLWORKS",0
264,"GRAPHIC SOUND DESIGN",0
265,"GRAVITY",0
266,"GROOVE ADDICTS",0
267,"HOT TAG MEDIA",0
268,"IGNITE",0
269,"IMPRESSIVE MINDS",0
270,"INDIESONICS LIBRARY",0
271,"INFINI",0
272,"KINGSIZE",0
273,"LIBRARY OF THE HUMAN SOUL",0
274,"LOVELY MUSIC LIBRARY",0
275,"MASSIVE BASS",0
276,"METRO",0
277,"MIDCOAST MUSIC ARTIST SONGS",0
278,"MIDCOAST MUSIC SPECIAL OCCASIONS",0
279,"MIDCOAST MUSIC WIRED",0
280,"MINDBENDERS",0
281,"MINIM",0
282,"MINIMAL TV",0
283,"NAKED MUSIC",0
284,"NON-STOP PREMIERE",0
285,"NON-STOP PRODUCER SERIES",0
286,"OIL",0
287,"PERFECT PITCH",0
288,"POPCORN MUSIC",0
289,"PRODUCTION TRX",0
290,"PROMO ACCELERATOR",0
291,"REALLY SLOW MOTION MUSIC",0
292,"REVOLUCION",0
293,"SAUCE MUSIC",0
294,"SCORE TRX",0
295,"SCORING STAGE",0
296,"SILENT METHODS",0
297,"SONG JUNKIES MUSIC",0
298,"SONGCRAFT",0
299,"SPECIAL REQUEST LIBRARY",0
300,"SPRINT EDGE",0
301,"SPRINT",0
302,"SPRINT MUSIC LIBRARY",0
303,"TENTH DIMENSION",0
304,"THE FUNKY JUNKIES",0
305,"TRUE LIFE MUSIC",0
306,"TRX MUSIC LIBRARY",0
307,"TV CLUB",0
308,"ULTIMATE CRIME & DRAMA",0
309,"V-THE PRODUCTION LIBRARY",0
310,"VALO ARTISTS",0
311,"VALO LATINO",0
312,"WHO DID THAT MUSIC",0
313,"XPLCT MUZIK",0
314,"XTORTION AUDIO",0
315,"INCOMPETECH, INC.",0
316,"1ST PRODUCER SERIES",0
317,"WARNER/CHAPPELL PRODUCTION MUSIC",0
318,"PATCHWORK",0
319,"SKETCH MUSIC LIMITED",0
320,"SOUNDFILE",0
321,"ACOUSTITRACKS OBSESSIVE MUSIC",0
322,"FABLE MUSIC",0
323,"GRAMOSCOPE",0
324,"ADRENALIN PRODUCTION MUSIC",0
325,"AMPLITUDE",0
326,"IMAGINE MUSIC LIBRARY",0
327,"WILD SANCTUARY",0
328,"TUFF",0
329,"UNITY PRODUCTION MUSIC LIBRARY",0
330,"MK PUBLICITA",0
331,"SBT LIBRARY",0
332,"2 RED JOKERS",0
333,"CACTUS",0
334,"SOUNDPORT",0
335,"STORY SCORE",0
336,"FIGURE AND GROOVE",0
